name,latitude,longitude
Méat&Tacos,48.6892217,6.1755331
Bouillon Batignolles,48.6894667,6.1768479
Pharmacie Mon Désert,48.6843762,6.1783333
Le Royal,48.6844502,6.1781088
Dombasle,48.691917,6.1782446
La Résidence,48.682499,6.1775325
Brasserie Mon Désert,48.6844649,6.1788068
Le Prince,48.6853826,6.1780227
City Burger,48.6845111,6.1789726
Sécuritest,48.6836889,6.1770676
Le Bistrot d'Alsace,48.6838391,6.1890904
Viagim,48.6839589,6.1884193
BraiseMaster,48.6839456,6.1889104
Le Tassigny,48.6835644,6.1895518
Resto Istanbul Rapide,48.6836539,6.1894034
Roussel SARL,48.6839203,6.1883818
Taxiphone,48.683817,6.1891278
LCL,48.6837164,6.1892973
Banque Kolb Centre d'Affaires,48.6812393,6.1833855
La Villa 1901,48.680779,6.1824198
Mandaloun,48.6966852,6.1797462
Mac Carthy,48.6922776,6.1774743
Restaurant Le Blouge,48.6905908,6.1712453
Office de Tourisme,48.6929082,6.1830133
Parking Saint-Sébastien,48.6873844,6.1816405
Centre Lorrain de consultation conjugale et de médiation familiale,48.6956839,6.1773665
La Toq',48.6962231,6.1786761
Auto-Moto-École Duroc Carnot,48.6939284,6.1787215
Crédit Mutuel,48.6933622,6.1792837
L’Éliceur,48.6935466,6.1800342
Le Greniel à Sel,48.6935378,6.1794808
Pharmacie des Maréchaux,48.6938706,6.1803866
Factory,48.6934552,6.179662
Durex,48.6938453,6.1803708
Espace Culturel Roger Comets,48.6932412,6.1795386
Médiathèque Nabécor,48.6810624,6.1933046
Chinexpress,48.6817765,6.1924177
Olry Pizza,48.6812576,6.1932527
Maison des Jeunes et de la Culture Lillebonne Saint-Epvre,48.6952335,6.1783169
BNP Paribas,48.68112,6.1934765
Kech,48.6802559,6.1954134
Esperluette,48.6717993,6.1748366
O Panini Kebab,48.691983,6.195812
Ammé thé,48.6904306,6.1843988
Silvya Terrade,48.6908207,6.1842574
O' Pères Peinards,48.6907085,6.1843028
Pharmacie La Primatiale,48.6903218,6.1844466
Pitaya,48.6914346,6.1847706
LCL,48.6910491,6.1830214
ENGREF Centre de documentation forestière,48.6937576,6.1876848
Ville de Nancy Restaurant Municipal,48.6930046,6.1850737
Fajet,48.68724,6.1861721
La Maison du Kebab,48.6876337,6.1876071
Le Festin,48.6854617,6.1953787
Le Loritz,48.6853449,6.1957234
"Maison de l'artiste peintre Alfred Renaudin, 1902",48.6817384,6.1683993
Djerba,48.6878788,6.1877191
Hôtel New-York,48.6881147,6.1873149
Les Amares,48.6881382,6.1872731
Bureau de sécurité et de proximité,48.6881593,6.1872295
Brasserie Excelsior,48.6907751,6.1758437
Atelier des Solidarités,48.6882832,6.1879632
Café de la Terrasse,48.6877593,6.1879081
La Fantasia,48.6872645,6.1885597
Le Méditerranéen,48.6875432,6.1881922
Le Sympa,48.6873571,6.1884378
Le Touareg,48.687413,6.1879341
Brasserie Saint-Nicolas,48.6880658,6.1869329
O' Miam - City food,48.6878266,6.1873798
Resto Burger,48.6878519,6.187346
Salon de Thé Arabica,48.6877578,6.1874686
Écrivain Public,48.6883419,6.1863369
Bar à chicha,48.6888139,6.1855994
Le Djurdjura,48.6884328,6.1860193
Le Georges,48.6955207,6.1958163
Food’Lab,48.6953813,6.1945535
Pharmacie des 2 Rives,48.6950935,6.1957641
Vietnam Street Food,48.6904748,6.185034
Crédit Agricole,48.6721146,6.1729924
L'Hivervage,48.6762851,6.1770651
La Banque Postale,48.6891619,6.1777042
Auto École Vauban,48.6735732,6.1657337
Zorba,48.6896129,6.1852051
Kebab,48.6920553,6.1867043
Bar à mousse,48.6921465,6.1870188
Centre Médical Calliopé,48.6852504,6.1863651
La Quincaillerie,48.6899945,6.1844285
Chez Nadine,48.6765792,6.1774158
La Mer Égée,48.6964651,6.1791159
Crédit Mutuel,48.6881497,6.1781815
La Poste Nancy Marché,48.6888413,6.1837805
La Poste Nancy Trois-Maisons,48.7022481,6.1742768
Parking Charles III,48.6892127,6.1821523
Pizzeria Sole Mio,48.6823164,6.1653036
Clinique Vétérinaire Jean Jaurès,48.6783142,6.1870954
100 Patates,48.6924569,6.1945568
Les Nouveaux Abattoirs,48.6942969,6.197395
Auto-École Anye,48.6895921,6.1855109
Canisac,48.690488,6.1867497
Canisac,48.6906642,6.1873837
Maison d'Hôte de Myon,48.6906377,6.1874983
L'Échanson,48.6905262,6.1852131
The Burger Factory,48.6905383,6.1855315
La Primatiale,48.6904768,6.1853018
Les Bacchanales,48.6904971,6.1853775
Mon Petit Bouchon,48.6905185,6.1854576
Parallel,48.6905044,6.1851356
Le Médrevil,48.6857455,6.1610798
Tradita,48.6714347,6.1667432
Bibliothèque Américaine,48.6963657,6.176368
E-Bibliothèque Universitaire Campus Manufacture,48.6973001,6.1717403
Bibliothèque universitaire Ingénieurs GM-GSI,48.6953137,6.1929977
Accueil - Point informations,48.6952287,6.1663684
Cafétéria,48.6944496,6.1664905
Factéria,48.6953952,6.1657463
Centre Européen Universitaire,48.6936842,6.1762326
Institut de Préparation à l'Administration Générale,48.6934791,6.1754461
Buste de Grandville,48.6987704,6.1807126
Buste de Sellier,48.695769,6.1840317
Monument Claude Gellée,48.6978916,6.1822818
Statue du Gaulois,48.6976051,6.1833627
Pharmacie du Montet,48.6733106,6.1737447
Le L.E.M.,48.6948778,6.181354
Service universitaire de médecine préventive et de promotion de la santé-Nancy / Campus Lettres et Sciences Humaines,48.6937386,6.1663998
Ibis Nancy Centre Stanislas,48.6935593,6.1918667
Ibis Budget Nancy Centre,48.6926798,6.1952533
Crédit Agricole,48.6846449,6.1874017
Crédit Mutuel,48.6849422,6.1867733
McCafé,48.6899529,6.1832268
Dentego,48.6918244,6.1815595
Les Artistes,48.692872,6.1807697
Pharmacie Stanislas,48.6922786,6.1789177
Pharmacie Préparatoire Delpech Nancy,48.6765817,6.1813257
Brasserie Le Strasbourg,48.684733,6.1870567
Kounagi,48.6845275,6.1878597
Pharmacie des Vosges,48.6847581,6.1869383
Pizza Fino,48.6778504,6.1987291
CIC,48.6927064,6.197177
Il Ristorante,48.6915302,6.198797
Institut de Formation en Ergothérapie,48.6869927,6.1987295
La Marianne,48.6793124,6.1741648
Dekra,48.6827713,6.2035703
La Pizza des Gourmets,48.6824214,6.1655524
Pizza Nostra,48.6698808,6.1638232
Crazy Palace,48.6981139,6.1747736
Conservatoire Régional du Grand Nancy,48.6963669,6.1726173
Le Berbère,48.7010428,6.1779247
La Poste Nancy Plateau de Haye,48.702652,6.1516755
Pharmacie Le Tilleul,48.7033615,6.1541126
Pharmacie des Coquelicots,48.7027711,6.1520841
Caisse d'Épargne Nancy Plateau de Haye,48.7011585,6.1473712
Hôtel Stanislas,48.6946048,6.187023
Charly,48.6961833,6.1632103
Domino's,48.6965411,6.1474032
Pharmacie de la Libération,48.6974623,6.1558996
Plaise Café,48.6919498,6.1386653
Au Pain Chaud,48.6721867,6.1734297
Domino's,48.669068,6.1690031
La P'tite Pause Créole,48.7024792,6.1813396
Mille et une Saveurs,48.7026332,6.1808609
Citadelle,48.7002856,6.1777919
Maison Kanazawa,48.6728651,6.1721383
La Flambée,48.6744998,6.1753775
Pharmacie Notre-Dame,48.6742935,6.1748633
Institut Lorrain de Formation en Masso-Kinésithérapie,48.6772143,6.1877974
Le Monténégro,48.6803241,6.1879695
O'Bon Grill,48.672446,6.1724653
Au Coin de la Rue,48.695537,6.1794206
Gaufres Lorraines,48.6987249,6.183248
Leopol Kebab,48.6952511,6.1770346
Mamma Mia,48.6952735,6.1794719
L'Épicerie Chez Marguerite,48.6940359,6.1807798
L'Escale,48.6940022,6.1806455
Le Bouillon Lafayette,48.6939819,6.1805765
Le Kiosque,48.6934808,6.1780685
Musée des Cordeliers (Arts et Traditions populaires),48.697696,6.1789919
Parking Charlemagne,48.6835109,6.1626067
TT histoire,48.6924129,6.1869667
Aux Délices du Palais,48.6967368,6.1796704
Pharmacie de la Vieille Ville,48.6978081,6.1785965
Brend'Oliv,48.6986782,6.1778748
Les Frères Marchand,48.6973916,6.1789518
Le Tiger,48.6894327,6.1936902
The Tiger,48.6931987,6.1910587
Made in France,48.6926076,6.1897436
Kart'In,48.7029936,6.1838251
Malzéville Kebab,48.7035576,6.181955
Croix de Bourgogne,48.6851796,6.1719304
Marché,48.6895171,6.183311
Collège Georges de La Tour,48.6904231,6.1361457
Lycée Georges de la Tour,48.691309,6.1373232
École régionale du premier degré,48.6910364,6.135278
Crédit Agricole,48.689583,6.1818342
CIC,48.6885438,6.1815453
Crédit Agricole,48.6895005,6.1818561
Brasserie du Sacré-Cœur,48.6862,6.1621755
Eldorado Maison des Ados,48.6871084,6.165183
Église Adventiste,48.6927412,6.1802768
Sushi-Show,48.6920644,6.1959848
PopKfé,48.6922075,6.1962543
Centre de formation Forelis,48.6901902,6.1881206
Dolce Pizza,48.6776784,6.1773391
Clinique Vétérinaire,48.6767487,6.1997056
L'Arrosoir,48.6942042,6.182672
Salles Donop,48.6765454,6.173258
Domidom,48.6879748,6.1830177
Collège Claude Daunot,48.6767558,6.1800868
Lycée Professionnel Claude Daunot,48.6770925,6.1794452
Lycée Technologique Claude Daunot,48.6773522,6.1799833
Fraich’Art Bar Zinc,48.6901534,6.1724182
Foyer de l’Assomption,48.6897319,6.1710421
Le Penalty,48.689359,6.1698579
Pharmacie Saint-Léon,48.6902481,6.1722744
